,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
164,2021,16762,1486,Mattia Caldara,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,2021,16766,1486,Mattia Caldara,a,DC,90.0,0.0,0.0,1.0,1.0,0.0,0.0097558172419667,0.0,0.0,-0.4707325482740998,0.0
504,2021,16779,1486,Mattia Caldara,a,DC,180.0,0.0,0.0,2.0,1.0,0.0,0.0255971020087599,0.0,0.0,-0.42320869397372013,0.0
884,2021,16795,1486,Mattia Caldara,h,DC,270.0,0.0,0.0,3.0,1.0,0.0,0.4147916799411177,0.0,0.0,0.7443750398233533,0.0
1174,2021,16800,1486,Mattia Caldara,a,DC,360.0,0.0,0.0,4.0,1.0,0.0,0.4380606962367891,0.0,0.0,0.8141820887103676,0.0
2320,2021,16855,1486,Mattia Caldara,h,DC,450.0,0.0,0.0,4.0,2.0,0.0,0.4380606962367891,0.0,0.0,0.31418208871036757,0.0
2686,2021,16859,1486,Mattia Caldara,a,DC,540.0,0.0,0.0,4.0,2.0,0.0,0.4380606962367891,0.0,0.0,0.31418208871036757,0.0
2892,2021,16875,1486,Mattia Caldara,h,DC,630.0,0.0,0.0,6.0,3.0,0.0,0.658087815158069,0.0,0.0,0.4742634454742073,0.0
3139,2021,16877,1486,Mattia Caldara,a,DC,720.0,1.0,0.0,7.0,3.0,0.0,1.1984024299308658,0.0,3.0,2.0952072897925973,3.0
3370,2021,16895,1486,Mattia Caldara,h,DC,810.0,1.0,0.0,7.0,3.0,0.0,1.1984024299308658,0.0113930283114314,3.0,2.1066003181040287,0.0
3529,2021,16896,1486,Mattia Caldara,a,DC,900.0,1.0,0.0,7.0,3.0,0.0,1.1984024299308658,0.0113930283114314,3.0,2.1066003181040287,0.0
3894,2021,16915,1486,Mattia Caldara,h,DC,990.0,1.0,0.0,7.0,3.0,0.0,1.1984024299308658,0.0113930283114314,3.0,2.1066003181040287,0.0
4073,2021,16925,1486,Mattia Caldara,h,DC,1080.0,1.0,0.0,7.0,3.0,0.0,1.1984024299308658,0.0113930283114314,3.0,2.1066003181040287,0.0
4465,2021,16933,1486,Mattia Caldara,a,DC,1170.0,1.0,0.0,8.0,4.0,0.0,1.2813174305483699,0.0113930283114314,3.0,1.855345319956541,0.0
4604,2021,16945,1486,Mattia Caldara,h,DC,1260.0,1.0,0.0,9.0,4.0,0.0,1.3413351429626346,0.0113930283114314,3.0,2.035398457199335,0.0
5226,2021,16975,1486,Mattia Caldara,h,DC,1350.0,1.0,0.0,9.0,5.0,0.0,1.3413351429626346,0.047116200439631904,3.0,1.5711216293275356,0.0
