,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
617,2021,16778,1580,Mattia Destro,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,2021,16787,1580,Mattia Destro,h,FW,86.0,1.0,0.0,2.0,0.0,0.0,0.2910095453262329,0.03698306158185,3.0,0.9100116975605488,3.0
1029,2021,16797,1580,Mattia Destro,a,FW,144.0,1.0,0.0,4.0,0.0,0.0,0.6371236145496368,0.03698306158185,3.0,1.9483539052307606,0.0
1327,2021,16807,1580,Mattia Destro,h,FW,234.0,2.0,0.0,6.0,1.0,0.0,1.353730708360672,0.03698306158185,6.0,3.598175186663866,3.0
1915,2021,16828,1580,Mattia Destro,h,FW,324.0,4.0,0.0,9.0,1.0,0.0,1.7927771508693695,0.03698306158185,12.0,4.915314514189959,6.0
2055,2021,16845,1580,Mattia Destro,a,FW,414.0,5.0,0.0,14.0,2.0,0.0,2.190181642770767,0.1466476954519748,15.0,5.7171926237642765,3.0
2313,2021,16853,1580,Mattia Destro,a,FW,494.0,6.0,0.0,18.0,2.0,0.0,3.0113021433353424,0.16385443508625022,18.0,8.197760865092278,3.0
2679,2021,16859,1580,Mattia Destro,h,FW,584.0,6.0,0.0,21.0,2.0,0.0,3.1194316521286964,0.16385443508625022,18.0,8.52214939147234,0.0
4032,2021,16917,1580,Mattia Destro,h,Sub,640.0,6.0,0.0,23.0,2.0,0.0,3.2599542662501335,0.16385443508625022,18.0,8.94371723383665,0.0
4293,2021,16930,1580,Mattia Destro,a,FW,672.0,7.0,0.0,25.0,2.0,0.0,3.8872468397021294,0.16385443508625022,21.0,10.825594954192638,3.0
4534,2021,16937,1580,Mattia Destro,h,FW,762.0,7.0,0.0,25.0,2.0,0.0,3.8872468397021294,0.20563086867332442,21.0,10.867371387779713,0.0
4840,2021,16954,1580,Mattia Destro,a,FW,836.0,7.0,0.0,25.0,2.0,0.0,3.8872468397021294,0.20563086867332442,21.0,10.867371387779713,0.0
4998,2021,16958,1580,Mattia Destro,h,FW,912.0,8.0,0.0,26.0,2.0,0.0,4.031855531036854,0.20563086867332442,24.0,11.301197461783886,3.0
5364,2021,16968,1580,Mattia Destro,a,FW,1002.0,8.0,0.0,31.0,3.0,0.0,4.579992301762104,0.2261782269924877,24.0,12.4661551322788,0.0
