,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
181,2021,16763,6686,Nicolo Zaniolo,h,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,2021,16782,6686,Nicolo Zaniolo,h,AMR,55.0,0.0,0.0,1.0,0.0,1.0,0.012296131812036,0.0150391468778252,0.0,-0.4480724576860666,0.0
926,2021,16788,6686,Nicolo Zaniolo,a,AMR,131.0,0.0,0.0,1.0,0.0,1.0,0.012296131812036,0.0150391468778252,0.0,-0.4480724576860666,0.0
1246,2021,16801,6686,Nicolo Zaniolo,h,AMR,197.0,0.0,0.0,3.0,0.0,1.0,0.11257036682218309,0.0150391468778252,0.0,-0.14724975265562534,0.0
1470,2021,16810,6686,Nicolo Zaniolo,a,AMR,272.0,0.0,0.0,6.0,0.0,1.0,0.47140904422849406,0.0150391468778252,0.0,0.9292662795633078,0.0
1732,2021,16821,6686,Nicolo Zaniolo,h,AMR,350.0,0.0,0.0,11.0,0.0,1.0,0.7049249773845075,0.18382492754608382,0.0,1.798599859699607,0.0
2001,2021,16829,6686,Nicolo Zaniolo,a,AMR,436.0,0.0,0.0,12.0,1.0,1.0,0.7369738621637223,0.23511584196239693,0.0,1.4460374284535646,0.0
2250,2021,16841,6686,Nicolo Zaniolo,h,AMR,461.0,0.0,0.0,13.0,1.0,1.0,0.7532473960891363,0.27094392571598275,0.0,1.5306861139833927,0.0
2464,2021,16846,6686,Nicolo Zaniolo,a,AMR,551.0,0.0,0.0,15.0,1.0,1.0,0.877181448973715,0.32675306219607575,0.0,1.9582974091172218,0.0
2751,2021,16862,6686,Nicolo Zaniolo,h,AMR,634.0,0.0,0.0,21.0,2.0,1.0,1.5736475372686978,0.4226562799885867,0.0,3.6435988917946815,0.0
3477,2021,16891,6686,Nicolo Zaniolo,h,FW,724.0,0.0,0.0,24.0,3.0,1.0,1.9317738497629757,0.4226562799885867,0.0,4.217977829277515,0.0
3636,2021,16897,6686,Nicolo Zaniolo,a,FW,814.0,0.0,0.0,27.0,3.0,1.0,2.154009484685957,0.4226562799885867,0.0,4.884684734046459,0.0
3804,2021,16912,6686,Nicolo Zaniolo,h,FW,904.0,0.0,0.0,30.0,4.0,1.0,2.255796701647341,0.4226562799885867,0.0,4.690046384930611,0.0
4348,2021,16926,6686,Nicolo Zaniolo,a,FW,994.0,0.0,0.0,32.0,5.0,1.0,2.3890003869310017,0.5273986505344508,0.0,4.694399811327457,0.0
4685,2021,16942,6686,Nicolo Zaniolo,h,FW,1066.0,1.0,0.0,35.0,6.0,1.0,3.150239557959139,0.5273986505344508,3.0,6.478117324411869,3.0
4863,2021,16951,6686,Nicolo Zaniolo,a,FW,1156.0,1.0,0.0,38.0,6.0,1.0,3.203537018038332,0.564834573306143,3.0,6.675445627421141,0.0
5253,2021,16971,6686,Nicolo Zaniolo,h,AMR,1246.0,1.0,0.0,42.0,7.0,1.0,3.379360170103609,0.583529916591942,3.0,6.721610426902771,0.0
