,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
377,2021,16768,1204,Patric,h,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,2021,16817,1204,Patric,a,Sub,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2221,2021,16830,1204,Patric,h,DC,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2729,2021,16839,1204,Patric,a,DC,189.0,0.0,0.0,1.0,0.0,0.0,0.0150249684229493,0.015878576785326,0.0,0.0609534820541739,0.0
3059,2021,16849,1204,Patric,h,Sub,279.0,0.0,0.0,2.0,1.0,0.0,0.3042991245165467,0.015878576785326,-0.5,0.42877595033496607,-0.5
3649,2021,16869,1204,Patric,h,Sub,292.0,0.0,0.0,2.0,1.0,0.0,0.3042991245165467,0.015878576785326,-0.5,0.42877595033496607,0.0
4327,2021,16890,1204,Patric,a,DR,309.0,0.0,0.0,2.0,1.0,0.0,0.3042991245165467,0.015878576785326,-0.5,0.42877595033496607,0.0
4625,2021,16902,1204,Patric,h,DC,356.0,0.0,0.0,2.0,2.0,0.0,0.3042991245165467,0.015878576785326,-1.0,-0.07122404966503393,-0.5
5285,2021,16930,1204,Patric,h,Sub,415.0,0.0,0.0,2.0,2.0,1.0,0.3042991245165467,0.015878576785326,-1.5,-0.5712240496650339,-0.5
5901,2021,16950,1204,Patric,h,Sub,418.0,0.0,0.0,2.0,2.0,1.0,0.3042991245165467,0.015878576785326,-1.5,-0.5712240496650339,0.0
6385,2021,16972,1204,Patric,a,DC,484.0,0.0,0.0,2.0,2.0,1.0,0.3042991245165467,0.015878576785326,-1.5,-0.5712240496650339,0.0
