,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1219,2021,16790,8313,Pierre Kalulu Kyatengwa,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1444,2021,16800,8313,Pierre Kalulu Kyatengwa,h,DR,55.0,0.0,0.0,1.0,0.0,0.0,0.2779760956764221,0.0538970530033111,0.0,0.8878253400325775,0.0
1584,2021,16812,8313,Pierre Kalulu Kyatengwa,a,DR,145.0,0.0,0.0,2.0,0.0,0.0,0.3420294374227523,0.1388935670256614,0.0,1.1649818792939186,0.0
2644,2021,16837,8313,Pierre Kalulu Kyatengwa,a,Sub,217.0,0.0,1.0,2.0,0.0,0.0,0.3420294374227523,0.489485315978527,1.0,1.5155736282467842,1.0
2865,2021,16850,8313,Pierre Kalulu Kyatengwa,h,DL,220.0,0.0,1.0,2.0,0.0,0.0,0.3420294374227523,0.489485315978527,1.0,1.5155736282467842,0.0
3713,2021,16870,8313,Pierre Kalulu Kyatengwa,h,Sub,266.0,0.0,1.0,2.0,1.0,0.0,0.3420294374227523,0.489485315978527,0.5,1.0155736282467842,-0.5
3804,2021,16878,8313,Pierre Kalulu Kyatengwa,a,DR,309.0,0.0,1.0,3.0,1.0,0.0,0.36600031331181515,0.489485315978527,0.5,1.0874862559139729,0.0
4231,2021,16889,8313,Pierre Kalulu Kyatengwa,h,Sub,368.0,0.0,1.0,3.0,1.0,0.0,0.36600031331181515,0.489485315978527,0.5,1.0874862559139729,0.0
4545,2021,16899,8313,Pierre Kalulu Kyatengwa,a,DR,377.0,0.0,1.0,3.0,1.0,0.0,0.36600031331181515,0.489485315978527,0.5,1.0874862559139729,0.0
5568,2021,16931,8313,Pierre Kalulu Kyatengwa,h,Sub,467.0,0.0,1.0,4.0,1.0,0.0,0.38611380755901326,0.489485315978527,0.5,1.1478267386555672,0.0
5831,2021,16936,8313,Pierre Kalulu Kyatengwa,a,Sub,471.0,0.0,1.0,4.0,1.0,0.0,0.38611380755901326,0.489485315978527,0.5,1.1478267386555672,0.0
5979,2021,16951,8313,Pierre Kalulu Kyatengwa,h,DC,495.0,0.0,1.0,4.0,1.0,0.0,0.38611380755901326,0.489485315978527,0.5,1.1478267386555672,0.0
6057,2021,16965,8313,Pierre Kalulu Kyatengwa,a,DC,585.0,0.0,1.0,4.0,1.0,0.0,0.38611380755901326,0.489485315978527,0.5,1.1478267386555672,0.0
6583,2021,16970,8313,Pierre Kalulu Kyatengwa,h,DC,675.0,0.0,1.0,4.0,1.0,0.0,0.38611380755901326,0.489485315978527,0.5,1.1478267386555672,0.0
