,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
99,2021,16759,1601,Riccardo Marchizza,h,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,2021,16771,1601,Riccardo Marchizza,a,DL,90.0,0.0,0.0,2.0,0.0,0.0,0.1119846627116203,0.0925299301743507,0.0,0.4284839183092117,0.0
626,2021,16779,1601,Riccardo Marchizza,h,DL,180.0,0.0,0.0,2.0,0.0,0.0,0.1119846627116203,0.0925299301743507,0.0,0.4284839183092117,0.0
1068,2021,16786,1601,Riccardo Marchizza,h,DL,270.0,0.0,0.0,4.0,0.0,0.0,0.249278999865055,0.35333100706338877,0.0,1.101168006658554,0.0
1431,2021,16798,1601,Riccardo Marchizza,a,DL,360.0,0.0,0.0,4.0,0.0,0.0,0.249278999865055,0.7102529779076576,0.0,1.4580899775028229,0.0
1699,2021,16806,1601,Riccardo Marchizza,h,DL,450.0,0.0,0.0,5.0,0.0,0.0,0.2679177988320588,0.7928152605891228,0.0,1.5965686570852995,0.0
2145,2021,16821,1601,Riccardo Marchizza,a,DL,530.0,0.0,0.0,5.0,0.0,0.0,0.2679177988320588,0.8139933664351702,0.0,1.617746762931347,0.0
2315,2021,16827,1601,Riccardo Marchizza,h,DL,620.0,0.0,0.0,5.0,0.0,0.0,0.2679177988320588,0.8827328104525803,0.0,1.6864862069487572,0.0
2573,2021,16842,1601,Riccardo Marchizza,a,DL,702.0,0.0,0.0,5.0,1.0,0.0,0.2679177988320588,0.8827328104525803,-0.5,1.1864862069487572,-0.5
3320,2021,16864,1601,Riccardo Marchizza,a,DL,792.0,0.0,0.0,5.0,2.0,0.0,0.2679177988320588,0.8827328104525803,-1.0,0.6864862069487572,-0.5
3426,2021,16867,1601,Riccardo Marchizza,h,DL,873.0,0.0,0.0,5.0,2.0,0.0,0.2679177988320588,0.983359659090638,-1.0,0.7871130555868149,0.0
3990,2021,16880,1601,Riccardo Marchizza,a,DL,935.0,0.0,0.0,5.0,2.0,0.0,0.2679177988320588,0.983359659090638,-1.0,0.7871130555868149,0.0
4079,2021,16887,1601,Riccardo Marchizza,h,Sub,1025.0,0.0,0.0,5.0,2.0,0.0,0.2679177988320588,0.983359659090638,-1.0,0.7871130555868149,0.0
4610,2021,16905,1601,Riccardo Marchizza,a,DL,1040.0,0.0,0.0,6.0,2.0,0.0,0.2859450969845055,0.983359659090638,-1.0,0.8411949500441551,0.0
5481,2021,16934,1601,Riccardo Marchizza,a,DL,1102.0,0.0,0.0,6.0,3.0,0.0,0.2859450969845055,0.983359659090638,-1.5,0.3411949500441551,-0.5
5816,2021,16936,1601,Riccardo Marchizza,h,Sub,1165.0,0.0,0.0,7.0,3.0,0.0,0.30777115188539006,0.983359659090638,-1.5,0.4066731147468089,0.0
5918,2021,16950,1601,Riccardo Marchizza,a,Sub,1208.0,0.0,0.0,7.0,3.0,0.0,0.30777115188539006,0.983359659090638,-1.5,0.4066731147468089,0.0
6074,2021,16957,1601,Riccardo Marchizza,h,DL,1266.0,0.0,1.0,8.0,4.0,0.0,0.33188899606466266,1.643625820055604,-1.0,0.6392928082495926,0.5
