,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
564,2021,16776,6672,Riccardo Sottil,a,FWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,2021,16799,6672,Riccardo Sottil,h,FWR,70.0,0.0,0.0,2.0,0.0,0.0,0.0757790431380271,0.0,0.0,0.2273371294140815,0.0
1712,2021,16819,6672,Riccardo Sottil,h,Sub,144.0,1.0,0.0,4.0,0.0,0.0,0.7322086319327353,0.0384500250220298,3.0,2.2350759208202358,3.0
2027,2021,16835,6672,Riccardo Sottil,a,FWL,176.0,1.0,0.0,5.0,0.0,0.0,0.7768652699887751,0.0384500250220298,3.0,2.369045834988355,0.0
2515,2021,16849,6672,Riccardo Sottil,a,FWL,253.0,1.0,0.0,5.0,0.0,1.0,0.7768652699887751,0.0596361774951218,3.0,1.8902319874614473,0.0
2650,2021,16858,6672,Riccardo Sottil,h,FWR,343.0,1.0,0.0,6.0,0.0,1.0,0.8030367232859134,0.0596361774951218,3.0,1.968746347352862,0.0
3551,2021,16898,6672,Riccardo Sottil,h,FWL,413.0,1.0,0.0,12.0,0.0,1.0,1.0720771886408327,0.0596361774951218,3.0,2.77586774341762,0.0
3867,2021,16906,6672,Riccardo Sottil,a,FWL,483.0,2.0,1.0,14.0,0.0,1.0,2.182430539280176,0.6470119971781968,7.0,6.694303615018725,4.0
4058,2021,16916,6672,Riccardo Sottil,h,Sub,568.0,2.0,1.0,14.0,0.0,1.0,2.182430539280176,0.6470119971781968,7.0,6.694303615018725,0.0
4647,2021,16938,6672,Riccardo Sottil,a,FWL,584.0,2.0,2.0,14.0,0.0,1.0,2.182430539280176,1.4339337963610888,8.0,7.481225414201617,1.0
