,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
94,2021,16759,1543,Sergej Milinkovic-Savic,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,2021,16768,1543,Sergej Milinkovic-Savic,h,MC,70.0,1.0,1.0,2.0,0.0,0.0,0.5978455543518066,0.1550969928503036,4.0,1.948633655905724,4.0
690,2021,16780,1543,Sergej Milinkovic-Savic,a,MC,144.0,1.0,1.0,3.0,0.0,0.0,0.6363288126885891,0.25367232412099827,4.0,2.162658762186766,0.0
937,2021,16791,1543,Sergej Milinkovic-Savic,h,MC,224.0,1.0,1.0,5.0,0.0,0.0,0.6672182530164718,0.25367232412099827,4.0,2.2553270831704144,0.0
1239,2021,16805,1543,Sergej Milinkovic-Savic,a,Sub,314.0,1.0,2.0,10.0,0.0,0.0,0.891382411122322,0.4834180250763892,5.0,3.157565258443356,1.0
1456,2021,16810,1543,Sergej Milinkovic-Savic,h,MC,356.0,1.0,2.0,11.0,1.0,0.0,0.9051110334694383,0.4834180250763892,5.0,2.6987511254847054,0.0
1642,2021,16817,1543,Sergej Milinkovic-Savic,a,MC,446.0,2.0,2.0,13.0,1.0,0.0,1.1892882473766802,1.8685771599411964,8.0,4.936441902071238,3.0
1807,2021,16830,1543,Sergej Milinkovic-Savic,h,MC,505.0,2.0,2.0,14.0,2.0,0.0,1.2359227463603017,1.8685771599411964,8.0,4.576345399022102,0.0
2235,2021,16839,1543,Sergej Milinkovic-Savic,a,MC,595.0,3.0,2.0,18.0,3.0,0.0,1.7610737606883047,1.9932313859462738,11.0,5.7764526680111885,3.0
2500,2021,16849,1543,Sergej Milinkovic-Savic,h,MC,685.0,3.0,3.0,20.0,3.0,0.0,2.0591660663485527,2.5233674347400665,12.0,7.200865633785725,1.0
2559,2021,16856,1543,Sergej Milinkovic-Savic,a,MC,764.0,3.0,4.0,21.0,3.0,0.0,2.103744313120842,2.6001377031207085,13.0,7.411370642483234,1.0
2968,2021,16869,1543,Sergej Milinkovic-Savic,h,MC,854.0,3.0,4.0,21.0,3.0,0.0,2.103744313120842,2.6001377031207085,13.0,7.411370642483234,0.0
3065,2021,16882,1543,Sergej Milinkovic-Savic,h,MC,932.0,3.0,4.0,24.0,3.0,0.0,2.268526256084442,2.6159142032265663,13.0,7.921492971479893,0.0
3507,2021,16890,1543,Sergej Milinkovic-Savic,a,MC,1022.0,3.0,4.0,26.0,3.0,0.0,2.3233829513192177,2.6159142032265663,13.0,8.08606305718422,0.0
3750,2021,16902,1543,Sergej Milinkovic-Savic,h,MC,1084.0,3.0,4.0,27.0,3.0,0.0,2.3366741482168436,2.6159142032265663,13.0,8.125936647877097,0.0
3938,2021,16913,1543,Sergej Milinkovic-Savic,a,MC,1174.0,4.0,4.0,30.0,3.0,0.0,2.422241548076272,2.7629012688994408,16.0,8.529625913128257,3.0
4278,2021,16930,1543,Sergej Milinkovic-Savic,h,MC,1242.0,5.0,5.0,33.0,3.0,1.0,2.8840606007725,2.8565493896603584,20.0,9.508731191977859,4.0
4621,2021,16945,1543,Sergej Milinkovic-Savic,a,MC,1332.0,5.0,5.0,33.0,3.0,1.0,2.8840606007725,2.8898081816732883,20.0,9.541989983990788,0.0
4777,2021,16950,1543,Sergej Milinkovic-Savic,h,MC,1422.0,5.0,6.0,33.0,3.0,1.0,2.8840606007725,3.347282323986292,21.0,9.999464126303792,1.0
5078,2021,16960,1543,Sergej Milinkovic-Savic,a,MC,1512.0,7.0,7.0,41.0,3.0,1.0,3.879272559657693,3.4224935956299305,28.0,13.06031127460301,7.0
5169,2021,16972,1543,Sergej Milinkovic-Savic,a,MC,1602.0,7.0,7.0,43.0,3.0,1.0,4.2761227283626795,3.4224935956299305,28.0,14.250861780717969,0.0
