,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
224,2021,16765,7938,Tommaso Augello,h,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,2021,16772,7938,Tommaso Augello,a,DL,72.0,0.0,0.0,1.0,0.0,0.0,0.015444153919816,0.0,0.0,0.046332461759448,0.0
571,2021,16783,7938,Tommaso Augello,h,DL,162.0,0.0,0.0,1.0,0.0,0.0,0.015444153919816,0.0,0.0,0.046332461759448,0.0
872,2021,16786,7938,Tommaso Augello,a,DL,242.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.5944889783859253,3.0,1.5606514941900969,3.0
1190,2021,16803,7938,Tommaso Augello,h,DL,332.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.5944889783859253,3.0,1.5606514941900969,0.0
1372,2021,16809,7938,Tommaso Augello,a,Sub,422.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.5944889783859253,3.0,1.5606514941900969,0.0
1680,2021,16823,7938,Tommaso Augello,h,DL,451.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.5944889783859253,3.0,1.5606514941900969,0.0
1869,2021,16826,7938,Tommaso Augello,a,DL,541.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.5944889783859253,3.0,1.5606514941900969,0.0
2063,2021,16843,7938,Tommaso Augello,h,DL,607.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.6185973715037107,3.0,1.5847598873078823,0.0
2612,2021,16865,7938,Tommaso Augello,a,ML,697.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.9489126037806273,3.0,1.9150751195847988,0.0
2917,2021,16872,7938,Tommaso Augello,h,DL,787.0,1.0,0.0,2.0,0.0,0.0,0.3220541719347238,0.9489126037806273,3.0,1.9150751195847988,0.0
3169,2021,16883,7938,Tommaso Augello,a,DL,872.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,0.9489126037806273,3.0,2.058341648429632,0.0
3325,2021,16892,7938,Tommaso Augello,h,DL,962.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,0.9489126037806273,3.0,2.058341648429632,0.0
3565,2021,16898,7938,Tommaso Augello,a,Sub,1051.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,1.0022997204214334,3.0,2.1117287650704384,0.0
3922,2021,16913,7938,Tommaso Augello,h,DL,1086.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,1.0022997204214334,3.0,2.1117287650704384,0.0
4038,2021,16917,7938,Tommaso Augello,a,DL,1176.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,1.0195745527744293,3.0,2.1290035974234343,0.0
4454,2021,16933,7938,Tommaso Augello,h,DL,1266.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,1.0195745527744293,3.0,2.1290035974234343,0.0
4692,2021,16942,7938,Tommaso Augello,a,DL,1356.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,1.1475928276777267,3.0,2.2570218723267317,0.0
4954,2021,16961,7938,Tommaso Augello,a,DL,1446.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,1.1475928276777267,3.0,2.2570218723267317,0.0
5135,2021,16973,7938,Tommaso Augello,h,DL,1524.0,1.0,0.0,3.0,0.0,0.0,0.3698096815496682,1.1680044066160917,3.0,2.2774334512650967,0.0
