,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
7,2014,5152,Lazio,AC Milan,Lazio,0,0,0.0,0.0,0,2014-08-31 17:00:00
26,2014,5112,Lazio,Lazio,Cesena,1,3,2.03815,2.01129,90,2014-09-14 14:00:00
47,2014,5122,Lazio,Genoa,Lazio,4,3,3.59086,2.1659409999999997,180,2014-09-21 14:00:00
78,2014,5138,Lazio,Lazio,Udinese,4,4,5.56215,3.3519609999999997,270,2014-09-25 19:45:00
99,2014,5148,Lazio,Palermo,Lazio,4,5,6.5024239999999995,4.413961,360,2014-09-29 20:00:00
112,2014,5075,Lazio,Lazio,Sassuolo,8,5,8.942014,5.9890609999999995,450,2014-10-05 14:00:00
125,2014,5081,Lazio,Fiorentina,Lazio,11,7,10.545424,7.662490999999999,540,2014-10-19 11:30:00
154,2014,5096,Lazio,Lazio,Torino,13,7,12.405424,8.233099,630,2014-10-26 17:00:00
179,2014,5108,Lazio,Verona,Lazio,15,8,13.577064,8.728506999999999,720,2014-10-30 19:45:00
198,2014,5039,Lazio,Lazio,Cagliari,16,9,14.465507,10.476416999999998,810,2014-11-03 20:00:00
209,2014,5044,Lazio,Empoli,Lazio,20,11,16.676977,11.852846999999997,900,2014-11-09 14:00:00
222,2014,5051,Lazio,Lazio,Juventus,21,13,17.047856,12.335221999999996,990,2014-11-22 19:45:00
243,2014,5061,Lazio,Chievo,Lazio,21,16,17.64003,13.623751999999996,1080,2014-11-29 19:45:00
269,2014,5004,Lazio,Parma,Lazio,21,16,18.199938,13.964027999999995,1170,2014-12-07 14:00:00
282,2014,5011,Lazio,Lazio,Atalanta,23,17,19.977097999999998,15.299527999999995,1260,2014-12-13 19:45:00
319,2014,5029,Lazio,Inter,Lazio,26,17,22.302587999999997,15.523420999999995,1350,2014-12-21 19:45:00
320,2014,4957,Lazio,Lazio,Sampdoria,28,19,22.565089999999998,16.589380999999996,1440,2015-01-05 19:45:00
355,2014,4974,Lazio,Roma,Lazio,31,19,24.596049999999998,16.641265199999996,1530,2015-01-11 14:00:00
364,2014,4979,Lazio,Lazio,Napoli,33,21,26.073079999999997,17.274374199999997,1620,2015-01-18 11:30:00
382,2014,4988,Lazio,Lazio,AC Milan,33,22,27.103279999999998,18.266038199999997,1710,2015-01-24 19:45:00
409,2014,4921,Lazio,Cesena,Lazio,36,23,29.72683,18.370869199999998,1800,2015-02-01 14:00:00
436,2014,4935,Lazio,Lazio,Genoa,37,25,30.009097,19.3440232,1890,2015-02-09 19:45:00
455,2014,4944,Lazio,Udinese,Lazio,37,26,30.728753,20.905233199999998,1980,2015-02-15 14:00:00
466,2014,4950,Lazio,Lazio,Palermo,38,26,32.682563,21.5742582,2070,2015-02-22 14:00:00
489,2014,4885,Lazio,Sassuolo,Lazio,40,27,33.855143,22.5655102,2160,2015-03-01 14:00:00
512,2014,4897,Lazio,Lazio,Fiorentina,43,27,37.802963,23.3773552,2250,2015-03-09 18:00:00
531,2014,4906,Lazio,Torino,Lazio,47,27,41.505493,23.5778912,2340,2015-03-16 18:00:00
544,2014,4913,Lazio,Lazio,Verona,49,27,42.957413,23.9785772,2430,2015-03-22 19:45:00
561,2014,4831,Lazio,Cagliari,Lazio,51,27,44.681203000000004,24.1186892,2520,2015-04-04 14:00:00
586,2014,4844,Lazio,Lazio,Empoli,54,28,49.135413,24.4873102,2610,2015-04-12 14:00:00
603,2014,4852,Lazio,Juventus,Lazio,58,28,50.785583,25.3851692,2700,2015-04-18 19:45:00
632,2014,4867,Lazio,Lazio,Chievo,58,30,51.279325,26.020266200000002,2790,2015-04-26 14:00:00
644,2014,4873,Lazio,Lazio,Parma,59,31,53.162715,26.221784200000002,2880,2015-04-29 19:45:00
671,2014,4784,Lazio,Atalanta,Lazio,63,31,55.032894999999996,26.633313200000003,2970,2015-05-03 14:00:00
696,2014,4797,Lazio,Lazio,Inter,64,32,56.599225,28.230803200000004,3060,2015-05-10 19:45:00
703,2014,4800,Lazio,Sampdoria,Lazio,65,34,57.901734999999995,30.464463200000004,3150,2015-05-16 19:45:00
738,2014,4818,Lazio,Lazio,Roma,66,34,58.930204999999994,31.585613200000004,3240,2015-05-25 17:00:00
751,2014,4824,Lazio,Napoli,Lazio,67,36,60.35420499999999,32.914723200000005,3330,2015-05-31 19:45:00
