,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
6,2019,13092,Verona,Verona,Bologna,0,0,0.0,0.0,0,2019-08-25 19:45:00
29,2019,13103,Verona,Lecce,Verona,1,1,0.109745,2.11,90,2019-09-01 19:45:00
56,2019,13112,Verona,Verona,AC Milan,2,1,1.933745,3.104717,180,2019-09-15 18:45:00
65,2019,13122,Verona,Juventus,Verona,2,2,2.399061,4.576487,270,2019-09-21 16:00:00
80,2019,13132,Verona,Verona,Udinese,3,4,4.240561,6.440207,360,2019-09-24 17:00:00
115,2019,13139,Verona,Cagliari,Verona,3,4,5.213749,7.254481,450,2019-09-29 16:00:00
122,2019,13154,Verona,Verona,Sampdoria,4,5,7.410309,9.394791,540,2019-10-05 17:00:00
141,2019,13164,Verona,Napoli,Verona,6,5,8.077691,10.122667,630,2019-10-19 17:00:00
158,2019,13173,Verona,Verona,Sassuolo,6,7,9.817281,12.404347,720,2019-10-25 19:45:00
179,2019,13185,Verona,Parma Calcio 1913,Verona,6,8,10.600197999999999,13.458737,810,2019-10-29 18:00:00
208,2019,13193,Verona,Verona,Brescia,7,8,10.972535999999998,14.629697,900,2019-11-03 14:00:00
223,2019,13201,Verona,Inter,Verona,9,9,12.112845999999998,15.60516,990,2019-11-09 17:00:00
246,2019,13211,Verona,Verona,Fiorentina,10,11,13.386975999999997,17.85171,1080,2019-11-24 14:00:00
274,2019,13223,Verona,Verona,Roma,11,11,14.905105999999996,18.696374000000002,1170,2019-12-01 19:45:00
281,2019,13229,Verona,Atalanta,Verona,12,14,16.123115999999996,20.804614,1260,2019-12-07 14:00:00
304,2019,13244,Verona,Verona,Torino,14,17,17.313225999999997,23.321714,1350,2019-12-15 11:30:00
341,2019,13268,Verona,SPAL 2013,Verona,17,20,19.647005999999998,24.763014,1440,2020-01-05 14:00:00
372,2019,13271,Verona,Verona,Genoa,19,20,22.176795999999996,26.366964,1530,2020-01-12 17:00:00
387,2019,13280,Verona,Bologna,Verona,21,21,24.635465999999997,27.133639,1620,2020-01-19 14:00:00
412,2019,13298,Verona,Verona,Lecce,22,22,27.020305999999998,28.371819,1710,2020-01-26 14:00:00
431,2019,13305,Verona,AC Milan,Verona,25,22,30.278166,28.832144,1800,2020-02-02 14:00:00
439,2019,13252,Verona,Lazio,Verona,26,23,31.474016,30.749674,1890,2020-02-05 19:45:00
446,2019,13318,Verona,Verona,Juventus,26,23,32.030516999999996,31.834134,1980,2020-02-08 19:45:00
467,2019,13328,Verona,Udinese,Verona,28,24,33.723076999999996,32.922484,2070,2020-02-16 11:30:00
505,2019,13346,Verona,Sampdoria,Verona,28,24,34.798216999999994,33.716300999999994,2160,2020-03-08 14:00:00
514,2019,13338,Verona,Verona,Cagliari,29,26,36.517286999999996,35.258340999999994,2250,2020-06-20 19:45:00
528,2019,13358,Verona,Verona,Napoli,31,27,37.069221,36.43977099999999,2340,2020-06-23 17:30:00
555,2019,13367,Verona,Sassuolo,Verona,31,29,38.519090999999996,38.18529099999999,2430,2020-06-28 17:30:00
570,2019,13373,Verona,Verona,Parma Calcio 1913,34,32,39.841961,39.21996099999999,2520,2020-07-01 19:45:00
595,2019,13385,Verona,Brescia,Verona,37,34,41.364200999999994,40.42556099999999,2610,2020-07-05 17:30:00
618,2019,13398,Verona,Verona,Inter,37,36,42.03792899999999,41.54513099999999,2700,2020-07-09 19:45:00
633,2019,13406,Verona,Fiorentina,Verona,39,38,43.27959899999999,42.94327099999999,2790,2020-07-12 17:30:00
653,2019,13415,Verona,Roma,Verona,40,39,43.87257099999999,44.55252099999999,2880,2020-07-15 19:45:00
660,2019,13428,Verona,Verona,Atalanta,41,41,44.75231899999999,47.20902099999999,2970,2020-07-18 15:15:00
695,2019,13437,Verona,Torino,Verona,42,42,46.19153899999999,48.96083099999999,3060,2020-07-22 19:45:00
714,2019,13446,Verona,Verona,Lazio,43,43,47.685908999999995,50.05473099999999,3150,2020-07-26 17:30:00
724,2019,13452,Verona,Verona,SPAL 2013,44,48,49.46721899999999,52.320120999999986,3240,2020-07-29 17:30:00
757,2019,13466,Verona,Genoa,Verona,47,48,51.50627899999999,53.057307999999985,3330,2020-08-02 18:45:00
