,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
15,2020,14123,Atalanta,Torino,Atalanta,0,0,0.0,0.0,0,2020-09-26 13:00:00
39,2020,14135,Atalanta,Lazio,Atalanta,4,2,2.47087,0.773914,90,2020-09-30 18:45:00
46,2020,15450,Atalanta,Atalanta,Cagliari,8,3,4.36754,2.577664,180,2020-10-04 10:30:00
57,2020,15456,Atalanta,Napoli,Atalanta,13,5,7.97531,3.2332229999999997,270,2020-10-17 13:00:00
78,2020,15466,Atalanta,Atalanta,Sampdoria,14,9,8.615715,4.405233,360,2020-10-24 13:00:00
97,2020,15477,Atalanta,Crotone,Atalanta,15,12,10.713135,6.904393,450,2020-10-31 14:00:00
128,2020,15486,Atalanta,Atalanta,Inter,17,13,14.209085,7.4290009999999995,540,2020-11-08 14:00:00
141,2020,15503,Atalanta,Spezia,Atalanta,18,14,15.164558,8.244145,630,2020-11-21 17:00:00
162,2020,15506,Atalanta,Atalanta,Verona,18,14,17.364938,8.839043,720,2020-11-28 19:45:00
206,2020,15526,Atalanta,Atalanta,Fiorentina,18,16,18.566328,10.628153000000001,810,2020-12-13 14:00:00
221,2020,15540,Atalanta,Juventus,Atalanta,21,16,21.370127999999998,11.089947,900,2020-12-16 17:30:00
252,2020,15546,Atalanta,Atalanta,Roma,22,17,22.272166999999996,13.800337,990,2020-12-20 17:00:00
263,2020,15556,Atalanta,Bologna,Atalanta,26,18,24.186426999999995,14.513095,1080,2020-12-23 19:45:00
278,2020,15566,Atalanta,Atalanta,Sassuolo,28,20,26.080236999999993,15.601085,1170,2021-01-03 14:00:00
298,2020,15576,Atalanta,Atalanta,Parma Calcio 1913,33,21,29.583026999999994,16.100203999999998,1260,2021-01-06 14:00:00
317,2020,15586,Atalanta,Benevento,Atalanta,36,21,31.968346999999994,16.146994399999997,1350,2021-01-09 14:00:00
350,2020,15596,Atalanta,Atalanta,Genoa,40,22,36.049446999999994,17.092670399999996,1440,2021-01-17 17:00:00
357,2020,15524,Atalanta,Udinese,Atalanta,40,22,38.132726999999996,17.998641399999997,1530,2021-01-20 16:00:00
363,2020,15611,Atalanta,AC Milan,Atalanta,41,23,39.417196999999994,18.4167024,1620,2021-01-23 17:00:00
390,2020,15618,Atalanta,Atalanta,Lazio,44,23,41.812366999999995,20.1610624,1710,2021-01-31 14:00:00
402,2020,15634,Atalanta,Atalanta,Torino,45,26,42.99260699999999,22.551672399999998,1800,2021-02-06 14:00:00
429,2020,15636,Atalanta,Cagliari,Atalanta,48,29,45.05019699999999,25.352812399999998,1890,2021-02-14 14:00:00
452,2020,15649,Atalanta,Atalanta,Napoli,49,29,46.01697299999999,25.556158399999997,1980,2021-02-21 17:00:00
465,2020,15656,Atalanta,Sampdoria,Atalanta,53,31,48.701452999999994,26.180892399999998,2070,2021-02-28 11:30:00
490,2020,15675,Atalanta,Atalanta,Crotone,55,31,50.075762999999995,26.6400254,2160,2021-03-03 19:45:00
513,2020,15676,Atalanta,Inter,Atalanta,60,32,53.909952999999994,27.2394134,2250,2021-03-08 19:45:00
516,2020,15693,Atalanta,Atalanta,Spezia,60,33,54.58694199999999,27.4209244,2340,2021-03-12 19:45:00
543,2020,15696,Atalanta,Verona,Atalanta,63,34,56.59961199999999,28.6668744,2430,2021-03-21 11:30:00
566,2020,15714,Atalanta,Atalanta,Udinese,65,34,58.66754199999999,28.8118984,2520,2021-04-03 13:00:00
595,2020,15716,Atalanta,Fiorentina,Atalanta,68,36,61.29853199999999,29.5499664,2610,2021-04-11 18:45:00
610,2020,15730,Atalanta,Atalanta,Juventus,71,38,64.37808199999999,30.8375864,2700,2021-04-18 13:00:00
635,2020,15736,Atalanta,Roma,Atalanta,72,38,65.35763899999999,31.6332454,2790,2021-04-22 16:30:00
652,2020,15746,Atalanta,Atalanta,Bologna,73,39,67.748089,32.7457754,2880,2021-04-25 18:45:00
667,2020,15756,Atalanta,Sassuolo,Atalanta,78,39,72.20661899999999,33.647501399999996,2970,2021-05-02 13:00:00
689,2020,15766,Atalanta,Parma Calcio 1913,Atalanta,79,40,74.154879,34.9107114,3060,2021-05-09 13:00:00
702,2020,15776,Atalanta,Atalanta,Benevento,84,42,77.320049,35.966561399999996,3150,2021-05-12 18:45:00
719,2020,15786,Atalanta,Genoa,Atalanta,86,42,79.110739,36.1501604,3240,2021-05-15 13:00:00
754,2020,15801,Atalanta,Atalanta,AC Milan,90,45,81.39412899999999,37.874860399999996,3330,2021-05-23 18:45:00
