,season,matchId,team,homeTeam,awayTeam,goalsScored,goalsConceded,xGScored,xGConceded,time,date
13,2020,14122,Bologna,AC Milan,Bologna,0,0,0.0,0.0,0,2020-09-21 18:45:00
32,2020,14132,Bologna,Bologna,Parma Calcio 1913,0,2,0.825483,2.94224,90,2020-09-28 18:45:00
49,2020,15451,Bologna,Benevento,Bologna,4,3,2.8726329999999995,4.18704,180,2020-10-04 13:00:00
64,2020,15460,Bologna,Bologna,Sassuolo,4,4,4.695022999999999,5.0777399999999995,270,2020-10-18 10:30:00
83,2020,15472,Bologna,Lazio,Bologna,7,8,6.149242999999999,8.314419999999998,360,2020-10-24 18:45:00
100,2020,15476,Bologna,Bologna,Cagliari,8,10,7.905173,9.744189999999998,450,2020-10-31 19:45:00
134,2020,15488,Bologna,Bologna,Napoli,11,12,9.371312999999999,11.011019999999998,540,2020-11-08 17:00:00
151,2020,15502,Bologna,Sampdoria,Bologna,11,13,10.100361,12.416849999999998,630,2020-11-22 14:00:00
166,2020,15508,Bologna,Bologna,Crotone,13,14,11.834451,13.234793999999999,720,2020-11-29 14:00:00
183,2020,15518,Bologna,Inter,Bologna,14,14,13.635031,13.636012999999998,810,2020-12-05 19:45:00
208,2020,15527,Bologna,Bologna,Roma,15,17,14.756431,15.618882999999999,900,2020-12-13 14:00:00
231,2020,15543,Bologna,Spezia,Bologna,16,22,15.111256999999998,19.654313,990,2020-12-16 19:45:00
243,2020,15555,Bologna,Torino,Bologna,18,24,16.722907,22.319633,1080,2020-12-20 11:30:00
262,2020,15556,Bologna,Bologna,Atalanta,19,25,18.900216999999998,23.425273,1170,2020-12-23 19:45:00
283,2020,15569,Bologna,Fiorentina,Bologna,21,27,19.988207,25.319083,1260,2021-01-03 14:00:00
300,2020,15577,Bologna,Bologna,Udinese,21,27,20.621945,25.671328,1350,2021-01-06 14:00:00
319,2020,15588,Bologna,Genoa,Bologna,23,29,21.928725,27.375818,1440,2021-01-09 17:00:00
338,2020,15597,Bologna,Bologna,Verona,23,31,22.964205,28.426918,1530,2021-01-16 14:00:00
369,2020,15609,Bologna,Juventus,Bologna,24,31,25.558555,29.122004,1620,2021-01-24 11:30:00
380,2020,15619,Bologna,Bologna,AC Milan,24,33,25.988805,32.643404000000004,1710,2021-01-30 14:00:00
415,2020,15626,Bologna,Parma Calcio 1913,Bologna,25,35,27.334305,35.972604000000004,1800,2021-02-07 17:00:00
418,2020,15637,Bologna,Bologna,Benevento,28,35,28.785155,36.759806000000005,1890,2021-02-12 19:45:00
447,2020,15646,Bologna,Sassuolo,Bologna,29,36,30.704375,37.55984600000001,1980,2021-02-20 19:45:00
460,2020,15662,Bologna,Bologna,Lazio,30,37,31.251493,39.314156000000004,2070,2021-02-27 17:00:00
489,2020,15674,Bologna,Cagliari,Bologna,32,37,32.556003,41.812456000000005,2160,2021-03-03 19:45:00
511,2020,15678,Bologna,Napoli,Bologna,32,38,33.128197,42.730931000000005,2250,2021-03-07 19:45:00
524,2020,15692,Bologna,Bologna,Sampdoria,33,41,33.898292,43.95555100000001,2340,2021-03-14 11:30:00
539,2020,15697,Bologna,Crotone,Bologna,36,42,36.164812,45.523511000000006,2430,2021-03-20 14:00:00
572,2020,15708,Bologna,Bologna,Inter,39,44,40.015572,47.46968100000001,2520,2021-04-03 18:45:00
593,2020,15717,Bologna,Roma,Bologna,39,45,41.284182,49.59325100000001,2610,2021-04-11 16:00:00
612,2020,15733,Bologna,Bologna,Spezia,39,46,43.296682000000004,50.96675100000001,2700,2021-04-18 13:00:00
632,2020,15745,Bologna,Bologna,Torino,43,47,46.425492000000006,51.49936500000001,2790,2021-04-21 18:45:00
653,2020,15746,Bologna,Atalanta,Bologna,44,48,46.753403000000006,53.35932500000001,2880,2021-04-25 18:45:00
670,2020,15759,Bologna,Bologna,Fiorentina,44,53,47.655129,57.81785500000001,2970,2021-05-02 13:00:00
679,2020,15767,Bologna,Udinese,Bologna,47,56,49.594649000000004,59.829485000000005,3060,2021-05-08 13:00:00
704,2020,15778,Bologna,Bologna,Genoa,48,57,52.122399,60.31823000000001,3150,2021-05-12 18:45:00
737,2020,15787,Bologna,Verona,Bologna,48,59,54.430279,61.973670000000006,3240,2021-05-17 18:45:00
750,2020,15799,Bologna,Bologna,Juventus,50,61,56.473119,63.960860000000004,3330,2021-05-23 18:45:00
